Row_#,Run_Stamp,Suite_Batch_Label,Test_Case_ID,PASS_FAIL,Status,Priority,Area,Spec_File,Suite_Path,Test_Title,Test_Steps_Numbered,Expected_Result,Actual_Result,Duration_Ms,Stats_Passed,Stats_Failed,Stats_Skipped,Stats_Total
1,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-001,PASS,Passed,P0,Auth,dpa-01-login-workspace.spec.ts,dpa-01-login-workspace.spec.ts > D.push Auto — Login & vetted-logos workspace > DPA-TC-001 | Open vetted-logos workspace URL,,1. Navigate to /vetted-logos | 2. Assert body visible,"Workspace URL should load successfully, displaying either a login screen or dashboard.",Workspace entry point loaded successfully showing login or dashboard view,6040,50,0,0,50
2,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-002,PASS,Passed,P0,Auth,dpa-01-login-workspace.spec.ts,dpa-01-login-workspace.spec.ts > D.push Auto — Login & vetted-logos workspace > DPA-TC-002 | Login form or authenticated shell,,1. Goto workspace | 2. Check gate vs app shell,"Login gate should show a password input, or dashboard should appear if session exists.",Login screen displayed correctly with password input field,5847,50,0,0,50
3,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-003,PASS,Passed,P0,Auth,dpa-01-login-workspace.spec.ts,dpa-01-login-workspace.spec.ts > D.push Auto — Login & vetted-logos workspace > DPA-TC-003 | Email + password login success,,1. Fill credentials | 2. Submit | 3. Wait redirect,"After login, user should be redirected away from /vetted-logos/login.","After authentication, user was redirected away from login route",8463,50,0,0,50
4,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-004,PASS,Passed,P0,Auth,dpa-01-login-workspace.spec.ts,dpa-01-login-workspace.spec.ts > D.push Auto — Login & vetted-logos workspace > DPA-TC-004 | Post-login workspace home substantive,,1. Login | 2. Assert body depth,Page should render meaningful content (not a blank or empty shell).,Application UI rendered with visible content (no blank screen observed),9241,50,0,0,50
5,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-005,PASS,Passed,P1,Auth,dpa-01-login-workspace.spec.ts,dpa-01-login-workspace.spec.ts > D.push Auto — Login & vetted-logos workspace > DPA-TC-005 | Reload keeps session on workspace,,1. Login | 2. Reload | 3. Assert not login page,Reloading the page should not return the user to the login screen.,Page reload maintained authenticated state without redirecting to login,12808,50,0,0,50
6,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-007,PASS,Passed,P0,Visitors,dpa-02-visitors-conversations.spec.ts,dpa-02-visitors-conversations.spec.ts > D.push Auto — Visitors & conversations > DPA-TC-007 | Visitors route loads,,1. Login | 2. Goto visitors,/visitors route should load successfully with visible content.,Visitors module opened successfully with visible data,13005,50,0,0,50
7,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-008,PASS,Passed,P0,Visitors,dpa-02-visitors-conversations.spec.ts,dpa-02-visitors-conversations.spec.ts > D.push Auto — Visitors & conversations > DPA-TC-008 | Visitors substantive body,,1. Login | 2. Visitors | 3. Measure body,Visitors page should contain sufficient content (at least 60 characters).,Visitors page contained sufficient textual and UI content,12308,50,0,0,50
8,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-009,PASS,Passed,P1,Visitors,dpa-02-visitors-conversations.spec.ts,dpa-02-visitors-conversations.spec.ts > D.push Auto — Visitors & conversations > DPA-TC-009 | Visitors interactive surface,,1. Login | 2. Visitors | 3. Count interactives,Visitors page should display multiple interactive elements (buttons/links) or dense content.,Interactive elements (buttons/links) were present on Visitors page,12507,50,0,0,50
9,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-012,PASS,Passed,P0,Conversations,dpa-02-visitors-conversations.spec.ts,dpa-02-visitors-conversations.spec.ts > D.push Auto — Visitors & conversations > DPA-TC-012 | Conversations route loads,,1. Login | 2. Goto conversations,/conversations route should load successfully.,Conversations module loaded successfully,11289,50,0,0,50
10,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-013,PASS,Passed,P0,Conversations,dpa-02-visitors-conversations.spec.ts,dpa-02-visitors-conversations.spec.ts > D.push Auto — Visitors & conversations > DPA-TC-013 | Conversations list or dense body,,1. Login | 2. Conversations | 3. Density check,"Conversations page should display list items, rows, or transcript content.",Conversations view displayed message threads/list items correctly,11147,50,0,0,50
11,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-015,PASS,Passed,P1,CoreNav,dpa-02-visitors-conversations.spec.ts,dpa-02-visitors-conversations.spec.ts > D.push Auto — Visitors & conversations > DPA-TC-015 | Visitors to conversations navigation,,1. Login | 2. Visitors | 3. Click conversations link or goto,Conversations page should be accessible from Visitors page or via direct URL.,Conversations were accessible via navigation and direct route,12816,50,0,0,50
12,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-019,PASS,Passed,P0,Analytics,dpa-03-analytics-monitor.spec.ts,dpa-03-analytics-monitor.spec.ts > D.push Auto — Analytics & monitor > DPA-TC-019 | Analytics route loads,,1. Login | 2. Goto analytics,/analytics route should load successfully.,Analytics module opened without errors,12393,50,0,0,50
13,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-020,PASS,Passed,P0,Analytics,dpa-03-analytics-monitor.spec.ts,dpa-03-analytics-monitor.spec.ts > D.push Auto — Analytics & monitor > DPA-TC-020 | Analytics substantive body,,1. Login | 2. Analytics | 3. Body check,Analytics page should contain sufficient content (at least 80 characters).,Analytics page displayed sufficient data and content,11594,50,0,0,50
14,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-023,PASS,Passed,P0,Analytics,dpa-03-analytics-monitor.spec.ts,dpa-03-analytics-monitor.spec.ts > D.push Auto — Analytics & monitor > DPA-TC-023 | Export Reports — primary attempt,,1. Login | 2. Analytics | 3. Try export,"Export functionality should be available (download, toast, or visible control).",Export option was available and triggered expected behavior,72877,50,0,0,50
15,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-026,PASS,Passed,P0,Monitor,dpa-03-analytics-monitor.spec.ts,dpa-03-analytics-monitor.spec.ts > D.push Auto — Analytics & monitor > DPA-TC-026 | Monitor route loads,,1. Login | 2. Goto monitor,/monitor route should load successfully.,Monitor module loaded successfully,10610,50,0,0,50
16,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-027,PASS,Passed,P0,Monitor,dpa-03-analytics-monitor.spec.ts,dpa-03-analytics-monitor.spec.ts > D.push Auto — Analytics & monitor > DPA-TC-027 | Monitor substantive body,,1. Login | 2. Monitor | 3. Body,Monitor page should contain sufficient content (at least 60 characters).,Monitor page displayed meaningful content,11853,50,0,0,50
17,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-097,PASS,Passed,P1,Analytics,dpa-03-analytics-monitor.spec.ts,dpa-03-analytics-monitor.spec.ts > D.push Auto — Analytics & monitor > DPA-TC-097 | Analytics — Chat Report + Agent Report tabs (soft),,1. Login | 2. Analytics | 3. Chat Report tab if found | 4. Agent Report tab if found,Chat Report and/or Agent Report tabs (if present) should be clickable and display content.,Report tabs (Chat/Agent) were accessible and showed data where available,17061,50,0,0,50
18,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-033,PASS,Passed,P0,Users,dpa-04-users-tags-canned.spec.ts,"dpa-04-users-tags-canned.spec.ts > D.push Auto — Users, tags, canned responses > DPA-TC-033 | Users route loads",,1. Login | 2. Goto users,/users page should load with a proper settings interface.,Users module loaded with settings interface visible,12110,50,0,0,50
19,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-034,PASS,Passed,P0,Users,dpa-04-users-tags-canned.spec.ts,"dpa-04-users-tags-canned.spec.ts > D.push Auto — Users, tags, canned responses > DPA-TC-034 | Users — Add User opens form",,1. Login | 2. Users | 3. Add User,"Add User action should open a modal, drawer, or form fields.",Add User action opened input form/modal successfully,12802,50,0,0,50
20,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-035,PASS,Passed,P1,Users,dpa-04-users-tags-canned.spec.ts,"dpa-04-users-tags-canned.spec.ts > D.push Auto — Users, tags, canned responses > DPA-TC-035 | Users list, filter/search, or table signal",,1. Login | 2. Users | 3. Scan list and filter,"Users page should display table rows, search/filter, or multiple interactive elements.",Users page displayed data table and interactive controls,11411,50,0,0,50
21,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-038,PASS,Passed,P0,Tags,dpa-04-users-tags-canned.spec.ts,"dpa-04-users-tags-canned.spec.ts > D.push Auto — Users, tags, canned responses > DPA-TC-038 | Tags — Create tag opens form",,1. Login | 2. Goto tags | 3. Assert URL + shell | 4. Create,/tags page should load successfully.,Tags module loaded successfully,13680,50,0,0,50
22,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-040,PASS,Passed,P0,Canned,dpa-04-users-tags-canned.spec.ts,"dpa-04-users-tags-canned.spec.ts > D.push Auto — Users, tags, canned responses > DPA-TC-040 | Canned responses route loads",,1. Login | 2. Goto canned,Create Tag action should open a form interface.,Tag creation workflow opened form as expected,12876,50,0,0,50
23,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-041,PASS,Passed,P0,Canned,dpa-04-users-tags-canned.spec.ts,"dpa-04-users-tags-canned.spec.ts > D.push Auto — Users, tags, canned responses > DPA-TC-041 | Canned — Manage / Add opens form",,1. Login | 2. Canned | 3. Add/Manage,/canned-responses page should load successfully.,Canned Responses module loaded properly,12993,50,0,0,50
24,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-045,PASS,Passed,P0,Widget,dpa-05-widget-settings.spec.ts,dpa-05-widget-settings.spec.ts > D.push Auto — Widget settings > DPA-TC-045 | Widget-settings route loads,,1. Login | 2. Goto widget-settings,Add or Manage Response action should open the appropriate UI.,Add/Manage Response actions opened respective UI components,12450,50,0,0,50
25,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-046,PASS,Passed,P0,Widget,dpa-05-widget-settings.spec.ts,dpa-05-widget-settings.spec.ts > D.push Auto — Widget settings > DPA-TC-046 | Widget — all tabs walk,,1. Login | 2. widget-settings | 3. Click tabs,/widget-settings page should load successfully.,Widget Settings module opened successfully,19508,50,0,0,50
26,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-047,PASS,Passed,P1,Widget,dpa-05-widget-settings.spec.ts,dpa-05-widget-settings.spec.ts > D.push Auto — Widget settings > DPA-TC-047 | Widget — hide preview if present,,1. Login | 2. widget-settings | 3. Hide preview,"At least one tab should be clickable, or page should still be meaningful without tabs.",Tabs (where present) were accessible without UI issues,12869,50,0,0,50
27,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-048,PASS,Passed,P0,Widget,dpa-05-widget-settings.spec.ts,dpa-05-widget-settings.spec.ts > D.push Auto — Widget settings > DPA-TC-048 | Widget — save changes,,1. Login | 2. widget-settings | 3. Save,Hide Preview control should be clickable if present.,Preview toggle control responded correctly when interacted,20876,50,0,0,50
28,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-049,PASS,Passed,P2,Widget,dpa-05-widget-settings.spec.ts,dpa-05-widget-settings.spec.ts > D.push Auto — Widget settings > DPA-TC-049 | Widget — reset if present,,1. Login | 2. widget-settings | 3. Reset optional,Save button should function correctly if visible.,Save action executed without errors,13515,50,0,0,50
29,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-055,PASS,Passed,P0,Roles,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-055 | Roles route loads",,1. Login | 2. Goto roles,Reset functionality (if available) should not break the page.,Reset option (if available) did not break page functionality,13537,50,0,0,50
30,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-056,PASS,Passed,P0,Roles,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-056 | Roles — Add Role form",,1. Login | 2. roles | 3. Add Role,/roles page should load successfully.,Roles module loaded successfully,13352,50,0,0,50
31,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-058,PASS,Passed,P0,Permissions,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-058 | Permissions route loads",,1. Login | 2. Goto permissions,Add Role action should open a form interface.,Add Role action opened form interface correctly,12768,50,0,0,50
32,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-059,PASS,Passed,P0,Permissions,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-059 | Permissions — Add Permission form",,1. Login | 2. permissions | 3. Add,/permissions page should load successfully.,Permissions module loaded without issues,12952,50,0,0,50
33,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-061,PASS,Passed,P0,Triggers,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-061 | Triggers route loads",,1. Login | 2. Goto triggers,Add Permission action should open a form interface.,Add Permission functionality opened form successfully,13483,50,0,0,50
34,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-062,PASS,Passed,P0,Triggers,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-062 | Triggers — Add Trigger form",,1. Login | 2. triggers | 3. Add,/triggers page should load successfully.,Triggers module loaded successfully,13617,50,0,0,50
35,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-065,PASS,Passed,P0,Departments,dpa-06-rbac-org.spec.ts,"dpa-06-rbac-org.spec.ts > D.push Auto — Roles, permissions, triggers, departments > DPA-TC-065 | Departments — Add Department form",,1. Login | 2. Goto departments | 3. Assert URL + shell | 4. Add,Add Trigger action should open a form interface.,Add Trigger action opened creation form,14634,50,0,0,50
36,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-071,PASS,Passed,P0,Banned,dpa-07-banned-personal.spec.ts,dpa-07-banned-personal.spec.ts > D.push Auto — Banned visitors & personal > DPA-TC-071 | Banned visitors route loads,,1. Login | 2. Goto banned-visitors,/departments page should load successfully.,Departments module loaded successfully,11113,50,0,0,50
37,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-072,PASS,Passed,P0,Banned,dpa-07-banned-personal.spec.ts,dpa-07-banned-personal.spec.ts > D.push Auto — Banned visitors & personal > DPA-TC-072 | Banned — Ban IP / add flow,,1. Login | 2. Banned | 3. Add / Ban,Add Department action should open a form interface.,Add Department workflow opened form interface,14356,50,0,0,50
38,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-075,PASS,Passed,P0,Personal,dpa-07-banned-personal.spec.ts,dpa-07-banned-personal.spec.ts > D.push Auto — Banned visitors & personal > DPA-TC-075 | Personal route loads,,1. Login | 2. Goto personal,/banned-visitors page should load successfully.,Banned Visitors module loaded successfully,10623,50,0,0,50
