Row#,title,file,expected_result,actual_result,status,duration_ms
1,TC-AUTH-001 | designcater meta-app login | Expected: Session saved; Sign in dismissed,D:\Meta implementations\E2es Simple DC\tests\auth.setup.ts,User session should remain active after login.,Login persisted; auth state maintained,passed,9491
2,TC-HM-001 | Home loads authenticated | Expected: designcater host without login form,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,Sign-in screen should no longer be visible post authentication.,Correct domain loads without auth screen,passed,4581
3,TC-HM-002 | URL workspace slug | Expected: path includes company base,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,Application should load on the correct workspace host without login prompt.,Base path reflects organization context,passed,4118
4,TC-HM-003 | Primary navigation visible | Expected: nav or landmark,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,URL should include the appropriate workspace/company path.,Primary navigation is rendered,passed,4214
5,TC-HM-004 | In-app vocabulary | Expected: chat or dashboard terms,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,Primary navigation or layout landmarks should be visible.,Dashboard/chat context visible,passed,4205
6,TC-HM-005 | Link to chat logs in nav | Expected: href under company,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,Dashboard or chat-related content should be present.,Internal links scoped correctly,passed,4215
7,TC-HM-006 | Link to settings in nav | Expected: settings href,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,All links should resolve within the workspace scope.,Settings route accessible,passed,4202
8,TC-HM-007 | Link to voice agent area | Expected: voice nav entry (href or menu),D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,Settings navigation link should be accessible.,Voice section entry present,passed,4165
9,TC-HM-008 | No undefined slug in links | Expected: no /undefined in hrefs,D:\Meta implementations\E2es Simple DC\tests\01-meta-app-home.spec.ts,Voice/AI navigation entry should be available.,No broken/undefined links detected,passed,4187
10,TC-CL-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,No broken or /undefined links should appear.,Host resolves correctly,passed,4182
