Row_#,Test_Case_ID,PASS_FAIL,Status,Priority,Area,Spec_File,Suite_Path,Test_Steps_Numbered,Expected_Result,Actual_Result,Weakness_Gap,Duration_Ms,Stats_Passed,Stats_Failed,Stats_Skipped,Stats_Total
1,SEUP-TC-001,PASS,Passed,P0,Auth,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-001 | Login to innovax workspace,1. Open workspace | 2. Credentials if gate | 3. Post-login,User session remains active and the user is not redirected to the login page.,1. Authenticated session is successfully restored using saved storage state.,-,15422,61,17,0,78
2,SEUP-TC-002,PASS,Passed,P0,Workspace,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-002 | Workspace home loads,1. Login | 2. Assert workspace,Authenticated application shell loads successfully for the Innovax workspace.,2. Application loads without redirecting to the login page.,-,18540,61,17,0,78
3,SEUP-TC-003,PASS,Passed,P0,Workspace,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-003 | Workspace nav exposes core module links,1. Login | 2. workspace | 3. scan same-origin links,Sidebar or navigation contains links to visitors or chat logs (deep link verification).,3. Main dashboard shell is visible and stable.,-,17603,61,17,0,78
4,SEUP-TC-004,PASS,Passed,P0,Visitors,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-004 | Visitors route,1. Login | 2. visitors,/visitors route is accessible within an authenticated session.,4. Sidebar navigation is present with accessible links.,-,18187,61,17,0,78
5,SEUP-TC-005,PASS,Passed,P0,Chat logs,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-005 | Chat logs route,1. Login | 2. chat-logs,/chat-logs route is accessible within an authenticated session.,5. Visitors page loads successfully in authenticated mode.,-,17322,61,17,0,78
6,SEUP-TC-006,PASS,Passed,P0,Analytics,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-006 | Analytics route,1. Login | 2. analytics,/analytics route loads successfully under authentication.,6. Chat logs page is accessible and renders content correctly.,-,16978,61,17,0,78
7,SEUP-TC-007,PASS,Passed,P0,Monitor,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-007 | Monitor route,1. Login | 2. monitor,/monitor route loads successfully under authentication.,7. Analytics dashboard loads with meaningful data.,-,16966,61,17,0,78
8,SEUP-TC-008,PASS,Passed,P1,Navigation,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-008 | Core quad: each page substantive body (not empty shell),1. visitors | 2. chat-logs | 3. analytics | 4. monitor | 5. min body chars each,Each core route displays meaningful content after the latest changes.,8. Monitoring module initializes without errors.,-,30312,61,17,0,78
9,SEUP-TC-009,PASS,Passed,P0,Auth,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-009 | Reload visitors stays signed in,1. Login | 2. visitors | 3. reload,Reloading the page does not redirect the user to the login page.,9. Reloading the application retains authenticated session.,-,13345,61,17,0,78
10,SEUP-TC-010,FAIL,Failed,P1,Visitors,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-010 | Visitors list shell,1. visitors | 2. shell,Main content area or data table is visible on page load.,10. Core layout elements such as main/table are visible.,-,59535,61,17,0,78
11,SEUP-TC-011,PASS,Passed,P1,Chat logs,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-011 | Chat logs content shell,1. chat-logs | 2. shell,Chat or logs-related UI components are visible.,11. Visitors page displays structured content or table layout.,-,16915,61,17,0,78
12,SEUP-TC-012,PASS,Passed,P1,Monitor,seup-01-login-core.spec.ts,seup-01-login-core.spec.ts > SEUP — Login & core innovax > SEUP-TC-012 | Monitor panel shell,1. monitor | 2. shell,Monitoring interface shell is visible.,12. Search or filter input is usable when present.,-,17532,61,17,0,78
