case_id,area,suite,test_title,expected_result,actual_result,status,duration_ms
LSB-TC-001,auth,Latest staging branch - login and authenticated landing,LSB-TC-001 login storage opens workspace home,Authenticated user should land on vetted-logos workspace home.,Workspace home opened with authenticated session.,PASSED,12065
LSB-TC-002,auth,Latest staging branch - login and authenticated landing,LSB-TC-002 home reload keeps active session,Reload should not send the user back to login.,Reload preserved the active session.,PASSED,21712
LSB-TC-003,auth,Latest staging branch - login and authenticated landing,LSB-TC-003 home shell renders root layout,Home page should render main/root/application shell.,A main application shell element was visible.,PASSED,19318
LSB-TC-004,auth,Latest staging branch - login and authenticated landing,LSB-TC-004 home page has navigation landmarks,Authenticated home should expose navigation or sidebar controls.,Navigation landmarks were visible on the workspace page.,PASSED,19288
LSB-TC-007,routing,Latest staging branch - route integrity,LSB-TC-007 /vetted-logos/visitors opens without auth bounce,Visitors route should open directly.,Opened /vetted-logos/visitors without redirecting to login.,PASSED,20825
LSB-TC-008,routing,Latest staging branch - route integrity,LSB-TC-008 /vetted-logos/chat-logs opens without auth bounce,Chat logs route should open directly.,Opened /vetted-logos/chat-logs without redirecting to login.,PASSED,9348
LSB-TC-009,routing,Latest staging branch - route integrity,LSB-TC-009 /vetted-logos/analytics opens without auth bounce,Analytics route should open directly.,Opened /vetted-logos/analytics without redirecting to login.,PASSED,20832
LSB-TC-010,routing,Latest staging branch - route integrity,LSB-TC-010 /vetted-logos/monitor opens without auth bounce,Monitor route should open directly.,Opened /vetted-logos/monitor without redirecting to login.,PASSED,19141
LSB-TC-011,routing,Latest staging branch - route integrity,LSB-TC-011 /vetted-logos/users opens without auth bounce,Users route should open directly.,Opened /vetted-logos/users without redirecting to login.,PASSED,19014
LSB-TC-012,routing,Latest staging branch - route integrity,LSB-TC-012 /vetted-logos/tags opens without auth bounce,Tags route should open directly.,Opened /vetted-logos/tags without redirecting to login.,PASSED,21969
LSB-TC-013,routing,Latest staging branch - route integrity,LSB-TC-013 /vetted-logos/canned-responses opens without auth bounce,Canned responses route should open directly.,Opened /vetted-logos/canned-responses without redirecting to login.,PASSED,20011
LSB-TC-014,routing,Latest staging branch - route integrity,LSB-TC-014 /vetted-logos/widget-settings opens without auth bounce,Widget settings route should open directly.,Opened /vetted-logos/widget-settings without redirecting to login.,PASSED,19271
LSB-TC-015,routing,Latest staging branch - route integrity,LSB-TC-015 /vetted-logos/roles opens without auth bounce,Roles route should open directly.,Opened /vetted-logos/roles without redirecting to login.,PASSED,15703
LSB-TC-016,routing,Latest staging branch - route integrity,LSB-TC-016 /vetted-logos/permissions opens without auth bounce,Permissions route should open directly.,Opened /vetted-logos/permissions without redirecting to login.,PASSED,19257
LSB-TC-017,routing,Latest staging branch - route integrity,LSB-TC-017 /vetted-logos/triggers opens without auth bounce,Triggers route should open directly.,Opened /vetted-logos/triggers without redirecting to login.,PASSED,26193
LSB-TC-018,routing,Latest staging branch - route integrity,LSB-TC-018 /vetted-logos/departments opens without auth bounce,Departments route should open directly.,Opened /vetted-logos/departments without redirecting to login.,PASSED,24606
LSB-TC-019,routing,Latest staging branch - route integrity,LSB-TC-019 /vetted-logos/banned-visitors opens without auth bounce,Banned visitors route should open directly.,Opened /vetted-logos/banned-visitors without redirecting to login.,PASSED,21637
LSB-TC-020,routing,Latest staging branch - route integrity,LSB-TC-020 /vetted-logos/personal opens without auth bounce,Personal route should open directly.,Opened /vetted-logos/personal without redirecting to login.,PASSED,23196
LSB-TC-021,routing,Latest staging branch - route integrity,LSB-TC-021 route sequence remains stable across sections,Sequentially opening several routes should keep the app authenticated and stable.,Visited four key routes in sequence without auth loss.,PASSED,10189
LSB-TC-022,visitors,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-022 visitors page shows data surface,"Visitors page should show a list, table, grid, or card-based data surface.",Visitors page exposed a visible data surface.,FAILED,41197
LSB-TC-030,monitor,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-030 monitor page shows dashboard cards or data blocks,"Monitor page should show cards, blocks, widgets, or a metrics surface.",Monitor page showed metrics/dashboard blocks.,PASSED,20996
LSB-TC-031,monitor,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-031 monitor page has refresh or filter affordance,"Monitor page should expose refresh, filter, or date controls.",Monitor page exposed refresh/filter/date affordance.,PASSED,20400
LSB-TC-034,analytics,Latest staging branch - analytics and export reports,LSB-TC-034 analytics page shows charts or data surface,"Analytics page should show charts, graphs, widgets, or report data.",Analytics surface was visible.,PASSED,19805
LSB-TC-035,analytics,Latest staging branch - analytics and export reports,LSB-TC-035 analytics page exposes export reports control,Analytics page should provide Export Reports or an equivalent export/download action.,Export/download control was visible on analytics page.,PASSED,19584
LSB-TC-036,analytics,Latest staging branch - analytics and export reports,LSB-TC-036 analytics export action keeps page responsive,Clicking export should not blank or crash the analytics page.,Export interaction completed without blanking the page.,PASSED,21416
LSB-TC-037,analytics,Latest staging branch - analytics and export reports,LSB-TC-037 analytics page shows date range or period controls,"Analytics page should expose date range, period, or calendar controls.",Date/range control was available on analytics page.,PASSED,18908
LSB-TC-040,users,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-040 users page shows Add User control,"Users page should expose Add User, Invite User, or New User control.",Users creation entry control was visible.,PASSED,15358
LSB-TC-041,users,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-041 users add flow shows email field,Opening Add User should show an email field.,Users form displayed an email field.,PASSED,16449
LSB-TC-042,users,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-042 users add flow accepts draft data and save click,Users add flow should accept draft data and stay responsive after save click.,Users draft entry was filled and save click did not crash the page.,PASSED,26861
LSB-TC-043,tags,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-043 tags page shows Create Tag control,"Tags page should expose Create Tag, New Tag, or Add Tag control.",Tag creation control was visible.,PASSED,21766
LSB-TC-044,tags,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-044 tags create flow shows a name field,Opening Create Tag should show a text input for tag name.,Tag creation form displayed a visible text field.,PASSED,20573
LSB-TC-045,tags,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-045 tags create flow accepts unique tag name,Tags flow should accept a unique name and remain stable on save click.,Unique tag name was entered and save click kept UI responsive.,PASSED,34285
LSB-TC-046,canned-responses,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-046 canned responses page shows Add Response control,Canned Responses page should expose Add Response or equivalent creation control.,Canned response creation control was visible.,PASSED,20961
LSB-TC-047,canned-responses,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-047 canned responses add flow shows editable content field,Opening Add Response should show textarea or editable content area.,Canned response editor became visible.,PASSED,24375
LSB-TC-048,canned-responses,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-048 canned responses flow accepts a response draft,Canned Responses flow should accept text draft and remain stable on save click.,Response draft was entered and save click kept the page responsive.,PASSED,35544
LSB-TC-049,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-049 widget settings page shows Hide Preview affordance,Widget settings page should show Hide Preview or Preview control.,Hide Preview or Preview control was visible.,PASSED,24600
LSB-TC-050,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-050 widget settings page shows Reset control,Widget settings page should show Reset control.,Reset control was visible on widget settings.,PASSED,20511
