bug_id,severity,layer,branch_analyzed,file_path,line_number,line_range,issue_summary,technical_detail
BUG-001,Critical,Backend,origin/production,src/whatsapp/whatsapp.service.ts,3725,3721-3728,"Multi-tenant WhatsApp routing relies on findFirst using only clientId, which may lead to incorrect tenant resolution.","1. Incoming request flow uses findClientByClientId, which internally relies on findFirst({ where: { clientId } }). In cases where multiple workspaces reuse a common clientId (e.g., default), this may return an arbitrary record, leading to incorrect workspace resolution for status checks and visitor handling."
BUG-002,Critical,Backend,origin/production,src/chatbot/chatbot.service.ts,1995,1995-2003,"Kogent bot WhatsApp clientId does not align with the paired client, causing potential routing inconsistencies.","2. In fetchKogentBotWhatsAppPairingPayload, the clientId is derived from chatbotId, whereas other services (e.g., WorkspaceService) expect a standardized clientId (such as default). This mismatch can cause pairing failures or incorrect client initialization."
BUG-003,High,Backend,origin/production,src/whatsapp/whatsapp.service.ts,2887,2885-2889,"Group messaging flag retrieval is not scoped to the primary workspace, leading to possible misconfiguration.",3. The checkGroupMessagingEnabled logic retrieves a client by clientId and then compares workspaceId. This approach becomes unreliable when clientId is not uniquely scoped per tenant.
BUG-004,High,Backend,origin/production,src/whatsapp/whatsapp.service.ts,3726,3724-3728,"Offline status handling only considers the connected state, ignoring other valid connection states.","4. Connection validation strictly checks for status === 'connected', ignoring other valid states such as authenticated or reconnecting. This may result in incorrect offline handling or unintended auto-replies."
BUG-005,High,Backend,Both,src/whatsapp/whatsapp-client-manager.service.ts,2301,2301-2304,findClientByClientId function remains globally scoped and lacks tenant-level isolation.,"5. Database queries using findFirst({ where: { clientId } }) without including workspaceId introduce cross-tenant ambiguity, potentially returning data from an unintended workspace."
BUG-006,High,Backend,Both,src/whatsapp/whatsapp-client-manager.service.ts,2297,2296-2299,"findClientByWid uses findFirst without tenant filtering, risking cross-tenant data access.","6. Similar ambiguity exists in findFirst({ where: { wid } }), where lack of tenant scoping may cause incorrect client resolution if identifiers overlap."
BUG-007,Critical,Frontend,stage_worktree,whatsapp-qr-frontend.html,143,138-147,"Pairing QR codes are sent to a third-party API, exposing sensitive session data externally.","7. QR code generation embeds the full pairing payload in a third-party API request (api.qrserver.com), causing sensitive session data to leave internal infrastructure and introducing privacy and supply-chain risks."
BUG-008,High,Frontend,stage_worktree,whatsapp-qr-frontend.html,128,127-130 and 211,"Hardcoded localhost endpoints are used for Socket.IO and restart APIs, limiting deployment flexibility.","8. Hardcoded local endpoints (e.g., http://localhost:3003 for Socket.IO and http://localhost:7001/whatsapp/restart) restrict deployment flexibility and require manual updates for staging or production environments."
BUG-009,High,Frontend,stage_worktree,whatsapp-qr-frontend.html,198,198-201,"socket.onAny listener logs all events, which may expose sensitive data and increase security risk.","9. The use of socket.onAny logs all socket events, which can expose sensitive data and create unnecessary noise, especially in shared or production environments."
BUG-010,High,Backend,origin/stage,src/whatsapp/whatsapp.service.ts,3739,3733-3741,Fallback usage of findClientByClientId when workspace context is missing introduces ambiguity.,"10. When resolvedWorkspaceId is missing but resolvedClientId is present, the system still attempts client lookup using clientId, resulting in ambiguous tenant resolution in shared environments."
BUG-011,High,Backend,origin/production,src/whatsapp/baileys-client-manager.service.ts,N/A,N/A stage ~175+,"Post-connection chatbot channel synchronization is not implemented, leading to potential state inconsistencies.","11. After successful WhatsApp connection, the system does not trigger ChatBotService.connectToChannel. As a result, whatsapp_clients.chatbotId may exist while the chatbot’s connectedChannels state remains outdated, causing inconsistencies in dashboards and integrations."
