seq,project,title,file,line,expected_result,actual_result,status,duration_ms,screenshot_paths
1,,"TC-AUTH-001 | kg-staging /test login | Expected: Session saved; Sign in dismissed","D:\Meta implementations\E2e after Bugs Fixes\tests\auth.setup.ts",59,"Expected: Session saved; Sign in dismissed","OK",passed,17661,"D:\Meta implementations\E2e after Bugs Fixes\test-results\auth.setup.ts-TC-AUTH-001--2689d-ion-saved-Sign-in-dismissed-setup\test-finished-1.png"
2,,"TC-DB-001 | Dashboard loads | Expected: HTTP success","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",6,"Expected: HTTP success","OK",passed,3701,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-e33fd-loads-Expected-HTTP-success-chromium\test-finished-1.png"
3,,"TC-DB-002 | Host kg-staging | Expected: Correct host","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",13,"Expected: Correct host","OK",passed,9178,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-a455b-aging-Expected-Correct-host-chromium\test-finished-1.png"
4,,"TC-DB-003 | Shell or content visible | Expected: Not blank fatal","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",18,"Expected: Not blank fatal","OK",passed,8813,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-de5a8-le-Expected-Not-blank-fatal-chromium\test-finished-1.png"
5,,"TC-DB-004 | URL contains workspace slug | Expected: /test in path","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",26,"Expected: /test in path","OK",passed,8738,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-b95b5--slug-Expected-test-in-path-chromium\test-finished-1.png"
6,,"TC-DB-005 | Nav or sidebar hints | Expected: Link or nav region","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",31,"Expected: Link or nav region","OK",passed,8483,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-4a516-Expected-Link-or-nav-region-chromium\test-finished-1.png"
7,,"TC-DB-006 | Chat logs nav | Expected: Link or route reachable","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",37,"Expected: Link or route reachable","OK",passed,9304,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-a0510-ted-Link-or-route-reachable-chromium\test-finished-1.png"
8,,"TC-DB-007 | Dashboard title or heading | Expected: Heading present","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",49,"Expected: Heading present","OK",passed,8142,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-8ad98-ng-Expected-Heading-present-chromium\test-finished-1.png"
9,,"TC-DB-008 | Reload stable | Expected: Still authenticated","D:\Meta implementations\E2e after Bugs Fixes\tests\01-dashboard.spec.ts",55,"Expected: Still authenticated","OK",passed,9341,"D:\Meta implementations\E2e after Bugs Fixes\test-results\01-dashboard-Dashboard-tes-0b7d8-xpected-Still-authenticated-chromium\test-finished-1.png"
10,,"TC-WR-001 | Root loads | Expected: 2xx","D:\Meta implementations\E2e after Bugs Fixes\tests\02-workspace-root.spec.ts",6,"Expected: 2xx","OK",passed,2656,"D:\Meta implementations\E2e after Bugs Fixes\test-results\02-workspace-root-Workspac-fc290-001-Root-loads-Expected-2xx-chromium\test-finished-1.png"
