Severity,Risk_id,File_Path,Line_Number,Issue_Type,Title,Description,Recommendation
CRITICAL,DEEP-001,D:\Meta implementations\kogents-chat-backend\src\global\supabase.controller.ts,5,Security / Data exfiltration,Unauthenticated Supabase debug API mounted in AppModule,Controller debug/supabase exposes listTables getTableRows fetchAllTablesData overview discover etc. with NO AuthGuard. Anyone who can reach the API can dump Supabase table samples and metadata. Registered in app.module.ts controllers array.,Gate entire controller behind NODE_ENV!==production AND admin auth OR remove from production builds; use env flag DEBUG_SUPABASE=false default.
CRITICAL,DEEP-002,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,74,Security / Secret exposure,Hardcoded integration API key in source,Literal string compared to query apiKey (same at line 129). Key is in repo history and binaries — anyone with repo read can call protected pagination/filtered endpoints.,Move to env e.g. VISITOR_SESSION_EXPORT_API_KEY; rotate compromised key; use timing-safe compare (crypto.timingSafeEqual on buffers).
CRITICAL,DEEP-003,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,98,Security / IDOR,GET visitor-session/pagination/:workspaceId without JWT,Lists paginated sessions for arbitrary workspaceId path param — no AuthGuard no apiKey on this route. Competitor or scraper can enumerate customer chat metadata if UUIDs leak.,Require AuthGuard; verify req.user belongs to workspaceId; or require same env-based API key as filtered routes.
CRITICAL,DEEP-004,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,159,Security / IDOR,GET visitor-session/workspace/:workspaceId unauthenticated,Returns sessions for any workspaceId without bearer token.,AuthGuard + workspace membership check.
CRITICAL,DEEP-005,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,205,Security / IDOR,GET visitor-session/:id unauthenticated,findOne exposes visitor session (optional fullChats) by UUID only — guess/leak of id yields PII and transcripts.,Require auth or signed widget token bound to session id; rate-limit.
CRITICAL,DEEP-006,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,215,Security / Integrity,PUT visitor-session/:id and DELETE :id unauthenticated,Update and delete visitor sessions with no AuthGuard — session tampering or denial.,AuthGuard + ownership checks.
CRITICAL,DEEP-007,D:\Meta implementations\kogents-chat-backend\src\chat-logs\chat-logs.controller.ts,7,Security / IDOR,Entire chat-logs controller has no AuthGuard,POST create GET list (optional workspaceId) GET :id PUT DELETE — all unauthenticated. Full chat log CRUD and enumeration by id/workspaceId.,Add class-level @UseGuards(AuthGuard); enforce workspace scope from JWT on every query.
CRITICAL,DEEP-008,D:\Meta implementations\kogents-chat-backend\src\analytics\analytics.controller.ts,4,Security / Business data leak,Entire analytics controller unauthenticated,All routes under /analytics/:workspaceId/... return overview messages contacts heatmap events dashboard unread — no AuthGuard. UUID knowledge = full WA analytics exfiltration.,Add AuthGuard; verify user can access workspaceId and clientId.
CRITICAL,DEEP-009,D:\Meta implementations\kogents-chat-backend\src\canned-responses\canned-responses.controller.ts,20,Security / IDOR,Canned responses CRUD without AuthGuard,Routes under workspace/:workspaceId/canned-responses — only path segment identifies tenant. Unauthenticated create/list/update/delete of canned content and categories.,AuthGuard + workspace role checks on every handler.
CRITICAL,DEEP-010,D:\Meta implementations\kogents-chat-backend\src\visitor\visitor.controller.ts,8,Security / Abuse,Visitor create/update endpoints unauthenticated,POST /visitor and PUT /visitor — no guard. May be intentional for widget but enables spam bot registration and DB growth without CAPTCHA/rate limit visible here.,If public by design: strict rate limit IP fingerprint CAPTCHA; else AuthGuard for dashboard-only updates.
CRITICAL,SEC-001,D:\Meta implementations\kogents-chat-backend\src\workspace\workspace-public.controller.ts,25,Security / Data exposure,Public GET workspace/public/:id returns full workspace via findOne,No authentication. Combined with service spreading full Prisma row.,Remove or protect; return minimal DTO.
CRITICAL,SEC-002,D:\Meta implementations\kogents-chat-backend\src\workspace\workspace.service.ts,3974,Security / Data exposure,findOne spreads full workspace including apiToken,Prisma findUnique include users then ...workspace into JSON — leaks apiToken emails settings.,Select explicit safe columns; never spread ORM entity to HTTP.
CRITICAL,SEC-003,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,153,Security / Abuse,POST /whatsapp/send-message no AuthGuard,Anonymous WhatsApp send attempts.,AuthGuard or bridge secret + workspace scope.
