severity,bug_id,branches_affected,file_path,line_number,line_note,issue_title,description,recommendation
CRITICAL,MB-001,origin/stage;origin/staging;origin/production-test,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,78,Also 133 stage | 89 staging | 85+140 production-test,Hardcoded API key in repository,"A hardcoded secret value (k8x#mP9...) was identified being validated directly against the apiKey query parameter within the Visitor Session module and portions of the WhatsApp controller. The issue was not found in design-cater or origin/main, suggesting it may already be resolved there.","Move hardcoded secrets to environment variables, rotate exposed keys, and use timing-safe comparison methods for validation."
CRITICAL,MB-002,origin/design-cater;origin/stage;origin/staging;origin/production-test,D:\Meta implementations\kogents-chat-backend\src\global\supabase.controller.ts,5,Line 5-7 varies by branch,Unauthenticated /debug/supabase endpoints,"SupabaseDebugController was publicly accessible without AuthGuard, exposing database table listings and row-level data.",Disable debug controllers in production environments or restrict access to administrators only.
CRITICAL,MB-003,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\analytics\analytics.controller.ts,4,Class has no @UseGuards on any branch checked,Analytics API fully open,"Multiple workspace and client metric endpoints lacked authentication protection, allowing data enumeration through known UUIDs across reviewed branches.",Apply class-level AuthGuard protection along with tenant-level authorization checks for workspace resources.
CRITICAL,MB-004,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\channels\channels.controller.ts,14,No @UseGuards,Channels CRUD without authentication,"Channel management APIs allowed create, list, update, and delete operations without proper authorization validation.",Enforce authentication globally on channel management controllers using class-level guards.
CRITICAL,MB-005,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\visitor-session\visitor-session.controller.ts,20,No class AuthGuard,Visitor session IDOR and unauthenticated mutations,"Visitor Session endpoints, including list, pagination, chatbot access, create, update, and delete actions, were accessible without authentication controls.",Secure analytics and session queries by validating workspace access through JWT-scoped permissions.
CRITICAL,MB-006,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\workspace\workspace-public.controller.ts,11,No guard,Public workspace by id and file download,Public workspace and download routes exposed sensitive workspace information due to unrestricted findOne service responses.,Restrict public workspace responses to safe DTOs only and remove unnecessary sensitive fields from service responses.
CRITICAL,MB-007,origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\chat-logs\chat-logs.controller.ts,7,design-cater: lines 8-9 @UseGuards(AuthGuard) PRESENT — not in affected list,Chat logs controller missing AuthGuard (except design-cater after your push),"The stage, staging, production-test, and main branches were missing controller-level UseGuards protection, while the design-cater branch appeared secured after recent updates.","Merge the hardened security implementation from the design-cater branch into stage, staging, production-test, and main."
CRITICAL,MB-008,origin/production-test;origin/staging,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,504,production-test ~504 | staging send-response ~115 in file,POST /whatsapp/send-response without bridge secret validation,"In production-test and staging, WhatsApp handlers processed outbound messages and appended chats without validating x-whatsapp-send-response-secret or ConfigService checks.",Reintroduce WhatsApp secret validation from secured branches and reject requests when secrets are missing in production.
CRITICAL,MB-009,origin/design-cater;origin/stage;origin/production-test,D:\Meta implementations\kogents-chat-backend\src\workspace\workspace.controller.ts,676,design-cater 676-677 | stage 750-751 | production-test 894-895,@Public POST replace-files,File replacement functionality using multipart uploads and brandId values was accessible without authentication across tested branches.,Remove unnecessary @Public access from sensitive endpoints and require JWT validation with ownership verification.
HIGH,MB-010,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\widget-appearance\widget-appearance.controller.ts,20,No AuthGuard,Widget appearance CRUD open,Workspace branding and configuration could potentially be modified if a valid workspace ID was known.,Protect file replacement and upload operations with authenticated access controls.
HIGH,MB-011,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\matrix-bridge\instagram-auth.controller.ts,35,POST connect line ~35,Matrix connect without AuthGuard,Several endpoints accepted workspaceId and cookie-related values directly from request bodies without JWT validation.,Restrict administrative and branding-related actions to authorized admin users only.
HIGH,MB-012,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\canned-responses\canned-responses.controller.ts,20,No guard,Canned responses by URL workspaceId only,Full CRUD operations were accessible anonymously across multiple modules in reviewed branches.,Enforce authentication checks across all CRUD endpoints handling sensitive resources.
HIGH,MB-013,origin/design-cater;origin/stage;origin/staging;origin/production-test;origin/main,D:\Meta implementations\kogents-chat-backend\src\channels\meta-channel.controller.ts,33,UseGuards imported but no @UseGuards on class in grep,Meta channel REST surface,Meta/WhatsApp channel lifecycle management routes lacked enforced JWT authentication controls.,Apply @UseGuards(AuthGuard) at the controller level for all exposed modules and APIs.
INFO,MB-META,scan_scope,D:\Meta implementations\DC-STG After Push,0,N/A,Scan method and refs,"Findings were verified by comparing origin/design-cater, origin/stage, origin/staging, origin/production-test, and origin/main using git grep and git show. Reported line references are approximate and should be revalidated after merges.",Re-run the complete security scan after merges and deployments to verify remediation coverage.
