Row_#,Run_Stamp,Suite_Batch_Label,Test_Case_ID,PASS_FAIL,Status,Priority,Area,Spec_File,Suite_Path,Test_Title,Test_Steps_Numbered,Expected_Result,Actual_Result,Duration_Ms,Stats_Passed,Stats_Failed,Stats_Skipped,Stats_Total
1,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-001,PASS,Passed,P0,Auth,elpk-01-login-workspace.spec.ts,elpk-01-login-workspace.spec.ts > E2e Latest Push K Sath — Login & vetted-logos workspace > ELPK-TC-001 | Open vetted-logos workspace URL,,1. Navigate to /vetted-logos | 2. Assert body visible,"Workspace URL loads successfully, displaying either a login screen or dashboard.",Workspace URL loaded successfully with visible interface.,9416,62,0,0,62
2,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-002,PASS,Passed,P0,Auth,elpk-01-login-workspace.spec.ts,elpk-01-login-workspace.spec.ts > E2e Latest Push K Sath — Login & vetted-logos workspace > ELPK-TC-002 | Login form or authenticated shell,,1. Goto workspace | 2. Check gate vs app shell,"Login gate shows a password input, or a valid session opens the dashboard.",Login screen or dashboard appeared as expected.,9403,62,0,0,62
3,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-003,PASS,Passed,P0,Auth,elpk-01-login-workspace.spec.ts,elpk-01-login-workspace.spec.ts > E2e Latest Push K Sath — Login & vetted-logos workspace > ELPK-TC-003 | Email + password login success,,1. Fill credentials | 2. Submit | 3. Wait redirect,"After authentication, user is redirected away from /vetted-logos/login.",User authentication redirected correctly away from login route.,11898,62,0,0,62
4,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-004,PASS,Passed,P0,Auth,elpk-01-login-workspace.spec.ts,elpk-01-login-workspace.spec.ts > E2e Latest Push K Sath — Login & vetted-logos workspace > ELPK-TC-004 | Post-login workspace home substantive,,1. Login | 2. Assert body depth,Page content renders properly and is not empty or broken.,Page content rendered properly without blank state.,12374,62,0,0,62
5,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-005,PASS,Passed,P1,Auth,elpk-01-login-workspace.spec.ts,elpk-01-login-workspace.spec.ts > E2e Latest Push K Sath — Login & vetted-logos workspace > ELPK-TC-005 | Reload keeps session on workspace,,1. Login | 2. Reload | 3. Assert not login page,Reloading the page does not return the user to login.,Session remained active after page reload.,17216,62,0,0,62
6,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-007,PASS,Passed,P0,Visitors,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-007 | Visitors route loads,,1. Login | 2. Goto visitors,/visitors route loads with visible page content.,Visitors page opened successfully with visible content.,15808,62,0,0,62
7,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-008,PASS,Passed,P0,Visitors,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-008 | Visitors substantive body,,1. Login | 2. Visitors | 3. Measure body,Page contains sufficient content (minimum readable text).,Page contained sufficient readable data.,16217,62,0,0,62
8,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-009,PASS,Passed,P1,Visitors,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-009 | Visitors interactive surface,,1. Login | 2. Visitors | 3. Count interactives,Interactive elements (buttons/links) or dense content are present.,Interactive elements such as buttons and links were present.,16887,62,0,0,62
9,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-010,PASS,Passed,P2,Visitors,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-010 | Visitors search or filter control if present,,1. Login | 2. Visitors | 3. Look for search or table,Search input or list/table interface is available.,Search or listing interface was accessible.,15472,62,0,0,62
10,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-012,PASS,Passed,P0,Conversations,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-012 | Conversations route loads,,1. Login | 2. Goto conversations,/conversations route loads with visible data.,Conversations page loaded with visible records.,17789,62,0,0,62
11,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-013,PASS,Passed,P0,Conversations,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-013 | Conversations list or dense body,,1. Login | 2. Conversations | 3. Density check,"Conversations display messages, rows, or transcript content.",Message list or transcript data was displayed correctly.,16947,62,0,0,62
12,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-014,PASS,Passed,P2,Conversations,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-014 | Conversations filter input if any,,1. Login | 2. Conversations | 3. Optional filter,Filters (if available) are visible and usable.,Available filters were visible and functional.,17160,62,0,0,62
13,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-015,PASS,Passed,P1,CoreNav,elpk-02-visitors-conversations.spec.ts,elpk-02-visitors-conversations.spec.ts > E2e Latest Push K Sath — Visitors & conversations > ELPK-TC-015 | Visitors to conversations navigation,,1. Login | 2. Visitors | 3. Click conversations link or goto,Conversations can be accessed via Visitors page or direct URL.,Navigation to conversations worked via direct URL and internal links.,17345,62,0,0,62
14,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-019,PASS,Passed,P0,Analytics,elpk-03-analytics-monitor.spec.ts,elpk-03-analytics-monitor.spec.ts > E2e Latest Push K Sath — Analytics & monitor > ELPK-TC-019 | Analytics route loads,,1. Login | 2. Goto analytics,/analytics route loads successfully.,Analytics page loaded without errors.,16253,62,0,0,62
15,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-020,PASS,Passed,P0,Analytics,elpk-03-analytics-monitor.spec.ts,elpk-03-analytics-monitor.spec.ts > E2e Latest Push K Sath — Analytics & monitor > ELPK-TC-020 | Analytics substantive body,,1. Login | 2. Analytics | 3. Body check,"Page contains sufficient analytical content (charts, numbers, or text).",Analytical data (charts/metrics) was displayed properly.,16848,62,0,0,62
