case_id,area,suite,test_title,expected_result,actual_result,status,duration_ms
 > setup > stg.auth.setup.ts > Latest staging branch: login + storage save,,stg.auth.setup.ts,Latest staging branch: login + storage save,,Observed behavior matched expected outcome.,PASSED,14974
LSB-TC-001,auth,Latest staging branch - login and authenticated landing,LSB-TC-001 login storage opens workspace home,Authenticated user should land on vetted-logos workspace home.,Workspace home opened with authenticated session.,PASSED,16287
LSB-TC-002,auth,Latest staging branch - login and authenticated landing,LSB-TC-002 home reload keeps active session,Reload should not send the user back to login.,Reload preserved the active session.,PASSED,14576
LSB-TC-003,auth,Latest staging branch - login and authenticated landing,LSB-TC-003 home shell renders root layout,Home page should render main/root/application shell.,A main application shell element was visible.,PASSED,15088
LSB-TC-004,auth,Latest staging branch - login and authenticated landing,LSB-TC-004 home page has navigation landmarks,Authenticated home should expose navigation or sidebar controls.,Navigation landmarks were visible on the workspace page.,PASSED,19571
LSB-TC-007,routing,Latest staging branch - route integrity,LSB-TC-007 /vetted-logos/visitors opens without auth bounce,Visitors route should open directly.,Opened /vetted-logos/visitors without redirecting to login.,PASSED,10376
LSB-TC-008,routing,Latest staging branch - route integrity,LSB-TC-008 /vetted-logos/conversations opens without auth bounce,Conversations route should open directly.,Opened /vetted-logos/conversations without redirecting to login.,PASSED,13269
LSB-TC-009,routing,Latest staging branch - route integrity,LSB-TC-009 /vetted-logos/analytics opens without auth bounce,Analytics route should open directly.,Opened /vetted-logos/analytics without redirecting to login.,PASSED,11141
LSB-TC-010,routing,Latest staging branch - route integrity,LSB-TC-010 /vetted-logos/monitor opens without auth bounce,Monitor route should open directly.,Opened /vetted-logos/monitor without redirecting to login.,PASSED,17175
LSB-TC-011,routing,Latest staging branch - route integrity,LSB-TC-011 /vetted-logos/users opens without auth bounce,Users route should open directly.,Opened /vetted-logos/users without redirecting to login.,PASSED,11381
LSB-TC-012,routing,Latest staging branch - route integrity,LSB-TC-012 /vetted-logos/tags opens without auth bounce,Tags route should open directly.,Opened /vetted-logos/tags without redirecting to login.,PASSED,9600
LSB-TC-013,routing,Latest staging branch - route integrity,LSB-TC-013 /vetted-logos/canned-responses opens without auth bounce,Canned responses route should open directly.,Opened /vetted-logos/canned-responses without redirecting to login.,PASSED,10186
LSB-TC-014,routing,Latest staging branch - route integrity,LSB-TC-014 /vetted-logos/widget-settings opens without auth bounce,Widget settings route should open directly.,Opened /vetted-logos/widget-settings without redirecting to login.,PASSED,12034
LSB-TC-015,routing,Latest staging branch - route integrity,LSB-TC-015 /vetted-logos/roles opens without auth bounce,Roles route should open directly.,Opened /vetted-logos/roles without redirecting to login.,PASSED,16488
LSB-TC-016,routing,Latest staging branch - route integrity,LSB-TC-016 /vetted-logos/permissions opens without auth bounce,Permissions route should open directly.,Opened /vetted-logos/permissions without redirecting to login.,PASSED,11618
LSB-TC-017,routing,Latest staging branch - route integrity,LSB-TC-017 /vetted-logos/triggers opens without auth bounce,Triggers route should open directly.,Opened /vetted-logos/triggers without redirecting to login.,PASSED,9951
LSB-TC-018,routing,Latest staging branch - route integrity,LSB-TC-018 /vetted-logos/departments opens without auth bounce,Departments route should open directly.,Opened /vetted-logos/departments without redirecting to login.,PASSED,9670
LSB-TC-019,routing,Latest staging branch - route integrity,LSB-TC-019 /vetted-logos/banned-visitors opens without auth bounce,Banned visitors route should open directly.,Opened /vetted-logos/banned-visitors without redirecting to login.,PASSED,10909
LSB-TC-020,routing,Latest staging branch - route integrity,LSB-TC-020 /vetted-logos/personal opens without auth bounce,Personal route should open directly.,Opened /vetted-logos/personal without redirecting to login.,PASSED,18384
LSB-TC-021,routing,Latest staging branch - route integrity,LSB-TC-021 route sequence remains stable across sections,Sequentially opening several routes should keep the app authenticated and stable.,Visited four key routes in sequence without auth loss.,PASSED,5672
LSB-TC-022,visitors,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-022 visitors page shows data surface,"Visitors page should show a list, table, grid, or card-based data surface.",Visitors page exposed a visible data surface.,PASSED,15953
LSB-TC-023,visitors,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-023 visitors page offers search filter or sort affordance,"Visitors page should expose search, filter, or sort inputs.",Visitors page exposed search/filter/sort affordance.,FAILED,64630
LSB-TC-026,chat-logs,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-026 chat logs page shows conversation surface,"Chat logs page should display rows, threads, or conversation items.",Chat logs surface was visible.,PASSED,16487
LSB-TC-027,chat-logs,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-027 chat logs page includes search affordance,Chat logs page should expose a search or filter control.,Chat logs search/filter affordance was visible.,PASSED,20124
