seq,project,title,file,line,expected_result,actual_result,status,duration_ms,screenshot_paths
1,,TC-AUTH-001 | designcater meta-app login | Expected: Session saved; Sign in dismissed,D:\Meta implementations\E2e latest changes k bad\tests\auth.setup.ts,59,User session is established and login screen is dismissed after sign-in.,User session was created successfully after login.,passed,9780,D:\Meta implementations\E2e latest changes k bad\test-results\auth.setup.ts-TC-AUTH-001--342fb-ion-saved-Sign-in-dismissed-setup\test-finished-1.png
2,,TC-HM-002 | Home after auth | Expected: designcater host,D:\Meta implementations\E2e latest changes k bad\tests\01-meta-app-home.spec.ts,6,Application loads under the correct domain/host environment.,Application loaded under the correct host environment.,passed,4498,D:\Meta implementations\E2e latest changes k bad\test-results\01-meta-app-home-Meta-app--966ba-h-Expected-designcater-host-chromium\test-finished-1.png
3,,TC-HM-003 | URL contains meta-app | Expected: slug in path,D:\Meta implementations\E2e latest changes k bad\tests\01-meta-app-home.spec.ts,11,URL contains the correct workspace slug.,Workspace slug appeared correctly in the URL.,passed,4485,D:\Meta implementations\E2e latest changes k bad\test-results\01-meta-app-home-Meta-app--13010-a-app-Expected-slug-in-path-chromium\test-finished-1.png
4,,TC-HM-005 | Nav or sidebar | Expected: Navigation region,D:\Meta implementations\E2e latest changes k bad\tests\01-meta-app-home.spec.ts,16,Primary navigation region is visible.,Navigation section was visible on the page.,passed,4140,D:\Meta implementations\E2e latest changes k bad\test-results\01-meta-app-home-Meta-app--20195--Expected-Navigation-region-chromium\test-finished-1.png
5,,TC-HM-006 | Chat or dashboard hint | Expected: App vocabulary,D:\Meta implementations\E2e latest changes k bad\tests\01-meta-app-home.spec.ts,22,Application terminology/content is rendered correctly.,Application content rendered with correct terminology.,passed,4407,D:\Meta implementations\E2e latest changes k bad\test-results\01-meta-app-home-Meta-app--67453-int-Expected-App-vocabulary-chromium\test-finished-1.png
6,,TC-CL-001 | Page loads | Expected: HTTP success,D:\Meta implementations\E2e latest changes k bad\tests\02-chat-logs.spec.ts,6,Page loads successfully with valid HTTP response.,Page responded successfully with valid status.,passed,4105,D:\Meta implementations\E2e latest changes k bad\test-results\02-chat-logs-Chat-logs-met-ca0f7-loads-Expected-HTTP-success-chromium\test-finished-1.png
7,,TC-CL-002 | URL chat-logs | Expected: path segment,D:\Meta implementations\E2e latest changes k bad\tests\02-chat-logs.spec.ts,11,URL structure contains the expected path segment.,URL structure displayed the correct path.,passed,4169,D:\Meta implementations\E2e latest changes k bad\test-results\02-chat-logs-Chat-logs-met-9acf8--logs-Expected-path-segment-chromium\test-finished-1.png
8,,TC-CL-003 | Chat / conversation wording | Expected: Topic in page,D:\Meta implementations\E2e latest changes k bad\tests\02-chat-logs.spec.ts,16,Page displays relevant topic/content.,Relevant page content was visible.,passed,4279,D:\Meta implementations\E2e latest changes k bad\test-results\02-chat-logs-Chat-logs-met-43b2e-ding-Expected-Topic-in-page-chromium\test-finished-1.png
9,,TC-CL-005 | Search or filter control | Expected: Input or filter UI,D:\Meta implementations\E2e latest changes k bad\tests\02-chat-logs.spec.ts,22,Input field or filtering UI is available.,Input or filtering UI was accessible.,passed,4152,D:\Meta implementations\E2e latest changes k bad\test-results\02-chat-logs-Chat-logs-met-9889a-Expected-Input-or-filter-UI-chromium\test-finished-1.png
10,,TC-CL-006 | Table or list or empty | Expected: Data surface,D:\Meta implementations\E2e latest changes k bad\tests\02-chat-logs.spec.ts,32,Data surface (table/list/grid) is visible.,Data surface (list/table/grid) was displayed correctly.,failed,4369,D:\Meta implementations\E2e latest changes k bad\test-results\02-chat-logs-Chat-logs-met-59f4c-empty-Expected-Data-surface-chromium\test-failed-1.png
